site	frame	permutation_pvalue	type	gene	length	strand
1	0	NA	NA	NA	NA	NA
2	0	NA	NA	NA	NA	NA
3	0	NA	NA	NA	NA	NA
4	0	NA	NA	NA	NA	NA
5	0	NA	NA	NA	NA	NA
6	0	NA	NA	NA	NA	NA
7	0	NA	NA	NA	NA	NA
8	0	NA	NA	NA	NA	NA
9	0	NA	NA	NA	NA	NA
10	0	NA	NA	NA	NA	NA
11	0	NA	NA	NA	NA	NA
12	0	NA	NA	NA	NA	NA
13	0	NA	NA	NA	NA	NA
14	0	NA	NA	NA	NA	NA
15	0	NA	NA	NA	NA	NA
16	0	NA	NA	NA	NA	NA
17	0	NA	NA	NA	NA	NA
18	0	NA	NA	NA	NA	NA
19	0	NA	NA	NA	NA	NA
20	0	NA	NA	NA	NA	NA
21	0	NA	NA	NA	NA	NA
22	0	NA	NA	NA	NA	NA
23	0	NA	NA	NA	NA	NA
24	0	NA	NA	NA	NA	NA
25	0	NA	NA	NA	NA	NA
26	0	NA	NA	NA	NA	NA
27	0	NA	NA	NA	NA	NA
28	0	NA	NA	NA	NA	NA
29	0	NA	NA	NA	NA	NA
30	0	NA	NA	NA	NA	NA
31	0	NA	NA	NA	NA	NA
32	0	NA	NA	NA	NA	NA
33	0	NA	NA	NA	NA	NA
34	0	NA	NA	NA	NA	NA
35	0	NA	NA	NA	NA	NA
36	0	NA	NA	NA	NA	NA
37	0	NA	NA	NA	NA	NA
38	0	NA	NA	NA	NA	NA
39	0	NA	NA	NA	NA	NA
40	0	NA	NA	NA	NA	NA
41	0	NA	NA	NA	NA	NA
42	0	NA	NA	NA	NA	NA
43	0	NA	NA	NA	NA	NA
44	0	NA	NA	NA	NA	NA
45	0	NA	NA	NA	NA	NA
46	0	NA	NA	NA	NA	NA
47	0	NA	NA	NA	NA	NA
48	0	NA	NA	NA	NA	NA
49	0	NA	NA	NA	NA	NA
50	0	NA	NA	NA	NA	NA
51	0	NA	NA	NA	NA	NA
52	0	NA	NA	NA	NA	NA
53	0	NA	NA	NA	NA	NA
54	0	NA	NA	NA	NA	NA
55	0	NA	NA	NA	NA	NA
56	0	NA	NA	NA	NA	NA
57	0	NA	NA	NA	NA	NA
58	0	NA	NA	NA	NA	NA
59	0	NA	NA	NA	NA	NA
60	0	NA	NA	NA	NA	NA
61	0	NA	NA	NA	NA	NA
62	0	NA	NA	NA	NA	NA
63	0	NA	NA	NA	NA	NA
64	0	NA	NA	NA	NA	NA
65	0	NA	NA	NA	NA	NA
66	0	NA	NA	NA	NA	NA
67	0	NA	NA	NA	NA	NA
68	0	NA	NA	NA	NA	NA
69	0	NA	NA	NA	NA	NA
70	0	NA	NA	NA	NA	NA
71	0	NA	NA	NA	NA	NA
72	0	NA	NA	NA	NA	NA
73	0	NA	NA	NA	NA	NA
74	0	NA	NA	NA	NA	NA
75	0	NA	NA	NA	NA	NA
76	0	NA	NA	NA	NA	NA
77	0	NA	NA	NA	NA	NA
78	0	NA	NA	NA	NA	NA
79	0	NA	NA	NA	NA	NA
80	0	NA	NA	NA	NA	NA
81	0	NA	NA	NA	NA	NA
82	0	NA	NA	NA	NA	NA
83	0	NA	NA	NA	NA	NA
84	0	NA	NA	NA	NA	NA
85	0	NA	NA	NA	NA	NA
86	0	NA	NA	NA	NA	NA
87	0	NA	NA	NA	NA	NA
88	0	NA	NA	NA	NA	NA
89	0	NA	NA	NA	NA	NA
90	0	NA	NA	NA	NA	NA
91	0	NA	NA	NA	NA	NA
92	0	NA	NA	NA	NA	NA
93	0	NA	NA	NA	NA	NA
94	0	NA	NA	NA	NA	NA
95	0	NA	NA	NA	NA	NA
96	0	NA	NA	NA	NA	NA
97	0	NA	NA	NA	NA	NA
98	0	NA	NA	NA	NA	NA
99	0	NA	NA	NA	NA	NA
100	0	NA	NA	NA	NA	NA
101	0	NA	NA	NA	NA	NA
102	0	NA	NA	NA	NA	NA
103	0	NA	NA	NA	NA	NA
104	0	NA	NA	NA	NA	NA
105	0	NA	NA	NA	NA	NA
106	0	NA	NA	NA	NA	NA
107	0	NA	NA	NA	NA	NA
108	0	NA	NA	NA	NA	NA
109	0	NA	NA	NA	NA	NA
110	0	NA	NA	NA	NA	NA
111	0	NA	NA	NA	NA	NA
112	0	NA	NA	NA	NA	NA
113	0	NA	NA	NA	NA	NA
114	0	NA	NA	NA	NA	NA
115	0	NA	NA	NA	NA	NA
116	0	NA	NA	NA	NA	NA
117	0	NA	NA	NA	NA	NA
118	0	NA	NA	NA	NA	NA
119	0	NA	NA	NA	NA	NA
120	0	NA	NA	NA	NA	NA
121	0	NA	NA	NA	NA	NA
122	0	NA	NA	NA	NA	NA
123	0	NA	NA	NA	NA	NA
124	0	NA	NA	NA	NA	NA
125	0	NA	NA	NA	NA	NA
126	0	NA	NA	NA	NA	NA
127	0	NA	NA	NA	NA	NA
128	0	NA	NA	NA	NA	NA
129	0	NA	NA	NA	NA	NA
130	0	NA	NA	NA	NA	NA
131	0	NA	NA	NA	NA	NA
132	0	NA	NA	NA	NA	NA
133	0	NA	NA	NA	NA	NA
134	0	NA	NA	NA	NA	NA
135	0	NA	NA	NA	NA	NA
136	0	NA	NA	NA	NA	NA
137	0	NA	NA	NA	NA	NA
138	0	NA	NA	NA	NA	NA
139	0	NA	NA	NA	NA	NA
140	0	NA	NA	NA	NA	NA
141	0	NA	NA	NA	NA	NA
142	0	NA	NA	NA	NA	NA
143	0	NA	NA	NA	NA	NA
144	0	NA	NA	NA	NA	NA
145	0	NA	NA	NA	NA	NA
146	0	NA	NA	NA	NA	NA
147	0	NA	NA	NA	NA	NA
148	0	NA	NA	NA	NA	NA
149	0	NA	NA	NA	NA	NA
150	0	NA	NA	NA	NA	NA
151	0	NA	NA	NA	NA	NA
152	0	NA	NA	NA	NA	NA
153	0	NA	NA	NA	NA	NA
154	0	NA	NA	NA	NA	NA
155	0	NA	NA	NA	NA	NA
156	0	NA	NA	NA	NA	NA
157	0	NA	NA	NA	NA	NA
158	0	NA	NA	NA	NA	NA
159	0	NA	NA	NA	NA	NA
160	0	NA	NA	NA	NA	NA
161	0	NA	NA	NA	NA	NA
162	0	NA	NA	NA	NA	NA
163	0	NA	NA	NA	NA	NA
164	0	NA	NA	NA	NA	NA
165	0	NA	NA	NA	NA	NA
166	0	NA	NA	NA	NA	NA
167	0	NA	NA	NA	NA	NA
168	0	NA	NA	NA	NA	NA
169	0	NA	NA	NA	NA	NA
170	0	NA	NA	NA	NA	NA
171	0	NA	NA	NA	NA	NA
172	0	NA	NA	NA	NA	NA
173	0	NA	NA	NA	NA	NA
174	0	NA	NA	NA	NA	NA
175	0	NA	NA	NA	NA	NA
176	0	NA	NA	NA	NA	NA
177	0	NA	NA	NA	NA	NA
178	0	NA	NA	NA	NA	NA
179	0	NA	NA	NA	NA	NA
180	0	NA	NA	NA	NA	NA
181	0	NA	NA	NA	NA	NA
182	0	NA	NA	NA	NA	NA
183	0	NA	NA	NA	NA	NA
184	0	NA	NA	NA	NA	NA
185	0	NA	NA	NA	NA	NA
186	0	NA	NA	NA	NA	NA
187	0	NA	NA	NA	NA	NA
188	0	NA	NA	NA	NA	NA
189	0	NA	NA	NA	NA	NA
190	0	NA	NA	NA	NA	NA
191	0	NA	NA	NA	NA	NA
192	0	NA	NA	NA	NA	NA
193	0	NA	NA	NA	NA	NA
194	0	NA	NA	NA	NA	NA
195	0	NA	NA	NA	NA	NA
196	0	NA	NA	NA	NA	NA
197	0	NA	NA	NA	NA	NA
198	0	NA	NA	NA	NA	NA
199	0	NA	NA	NA	NA	NA
200	0	NA	NA	NA	NA	NA
201	0	NA	NA	NA	NA	NA
202	0	NA	NA	NA	NA	NA
203	0	NA	NA	NA	NA	NA
204	0	NA	NA	NA	NA	NA
205	0	NA	NA	NA	NA	NA
206	0	NA	NA	NA	NA	NA
207	0	NA	NA	NA	NA	NA
208	0	NA	NA	NA	NA	NA
209	0	NA	NA	NA	NA	NA
210	0	NA	NA	NA	NA	NA
211	0	NA	NA	NA	NA	NA
212	0	NA	NA	NA	NA	NA
213	0	NA	NA	NA	NA	NA
214	0	NA	NA	NA	NA	NA
215	0	NA	NA	NA	NA	NA
216	0	NA	NA	NA	NA	NA
217	0	NA	NA	NA	NA	NA
218	0	NA	NA	NA	NA	NA
219	0	NA	NA	NA	NA	NA
220	0	NA	NA	NA	NA	NA
221	0	NA	NA	NA	NA	NA
222	0	NA	NA	NA	NA	NA
223	0	NA	NA	NA	NA	NA
224	0	NA	NA	NA	NA	NA
225	0	NA	NA	NA	NA	NA
226	0	NA	NA	NA	NA	NA
227	0	NA	NA	NA	NA	NA
228	0	NA	NA	NA	NA	NA
229	0	NA	NA	NA	NA	NA
230	0	NA	NA	NA	NA	NA
231	0	NA	NA	NA	NA	NA
232	0	NA	NA	NA	NA	NA
233	0	NA	NA	NA	NA	NA
234	0	NA	NA	NA	NA	NA
235	0	NA	NA	NA	NA	NA
236	0	NA	NA	NA	NA	NA
237	0	NA	NA	NA	NA	NA
238	0	NA	NA	NA	NA	NA
239	0	NA	NA	NA	NA	NA
240	0	NA	NA	NA	NA	NA
241	0	NA	NA	NA	NA	NA
242	0	NA	NA	NA	NA	NA
243	0	NA	NA	NA	NA	NA
244	0	NA	NA	NA	NA	NA
245	0	NA	NA	NA	NA	NA
246	0	NA	NA	NA	NA	NA
247	0	NA	NA	NA	NA	NA
248	0	NA	NA	NA	NA	NA
249	0	NA	NA	NA	NA	NA
250	0	NA	NA	NA	NA	NA
251	0	NA	NA	NA	NA	NA
252	0	NA	NA	NA	NA	NA
253	0	NA	NA	NA	NA	NA
254	0	NA	NA	NA	NA	NA
255	0	NA	NA	NA	NA	NA
256	0	NA	NA	NA	NA	NA
257	0	NA	NA	NA	NA	NA
258	0	NA	NA	NA	NA	NA
259	0	NA	NA	NA	NA	NA
260	0	NA	NA	NA	NA	NA
261	0	NA	NA	NA	NA	NA
262	0	NA	NA	NA	NA	NA
263	0	NA	NA	NA	NA	NA
264	0	0.99987305420000006	2	ORF1a	162	+
265	0	0.99987305420000006	2	ORF1a	162	+
266	0	0.99987305420000006	2	ORF1a	162	+
267	0	0.99987305420000006	2	ORF1a	162	+
268	0	0.99987305420000006	2	ORF1a	162	+
269	0	0.99987305420000006	2	ORF1a	162	+
270	0	0.99987305420000006	2	ORF1a	162	+
271	0	0.99987305420000006	2	ORF1a	162	+
272	0	0.99987305420000006	2	ORF1a	162	+
273	0	0.99987305420000006	2	ORF1a	162	+
274	0	0.99987305420000006	2	ORF1a	162	+
275	0	0.99987305420000006	2	ORF1a	162	+
276	0	0.99987305420000006	2	ORF1a	162	+
277	0	0.99987305420000006	2	ORF1a	162	+
278	0	0.99987305420000006	2	ORF1a	162	+
279	0	0.99987305420000006	2	ORF1a	162	+
280	0	0.99987305420000006	2	ORF1a	162	+
281	0	0.99987305420000006	2	ORF1a	162	+
282	0	0.99987305420000006	2	ORF1a	162	+
283	0	0.99987305420000006	2	ORF1a	162	+
284	0	0.99987305420000006	2	ORF1a	162	+
285	0	0.99987305420000006	2	ORF1a	162	+
286	0	0.99987305420000006	2	ORF1a	162	+
287	0	0.99987305420000006	2	ORF1a	162	+
288	0	0.99987305420000006	2	ORF1a	162	+
289	0	0.99987305420000006	2	ORF1a	162	+
290	0	0.99987305420000006	2	ORF1a	162	+
291	0	0.99987305420000006	2	ORF1a	162	+
292	0	0.99987305420000006	2	ORF1a	162	+
293	0	0.99987305420000006	2	ORF1a	162	+
294	0	0.99987305420000006	2	ORF1a	162	+
295	0	0.99987305420000006	2	ORF1a	162	+
296	0	0.99987305420000006	2	ORF1a	162	+
297	0	0.99987305420000006	2	ORF1a	162	+
298	0	0.99987305420000006	2	ORF1a	162	+
299	0	0.99987305420000006	2	ORF1a	162	+
300	0	0.99987305420000006	2	ORF1a	162	+
301	0	0.99987305420000006	2	ORF1a	162	+
302	0	0.99987305420000006	2	ORF1a	162	+
303	0	0.99987305420000006	2	ORF1a	162	+
304	0	0.99987305420000006	2	ORF1a	162	+
305	0	0.99987305420000006	2	ORF1a	162	+
306	0	0.99987305420000006	2	ORF1a	162	+
307	0	0.99987305420000006	2	ORF1a	162	+
308	0	0.99987305420000006	2	ORF1a	162	+
309	0	0.99987305420000006	2	ORF1a	162	+
310	0	0.99987305420000006	2	ORF1a	162	+
311	0	0.99987305420000006	2	ORF1a	162	+
312	0	0.99987305420000006	2	ORF1a	162	+
313	0	0.99987305420000006	2	ORF1a	162	+
314	0	0.99987305420000006	2	ORF1a	162	+
315	0	0.99987305420000006	2	ORF1a	162	+
316	0	0.99987305420000006	2	ORF1a	162	+
317	0	0.99987305420000006	2	ORF1a	162	+
318	0	0.99987305420000006	2	ORF1a	162	+
319	0	0.99987305420000006	2	ORF1a	162	+
320	0	0.99987305420000006	2	ORF1a	162	+
321	0	0.99987305420000006	2	ORF1a	162	+
322	0	0.99987305420000006	2	ORF1a	162	+
323	0	0.99987305420000006	2	ORF1a	162	+
324	0	0.99987305420000006	2	ORF1a	162	+
325	0	0.99987305420000006	2	ORF1a	162	+
326	0	0.99987305420000006	2	ORF1a	162	+
327	0	0.99987305420000006	2	ORF1a	162	+
328	0	0.99987305420000006	2	ORF1a	162	+
329	0	0.99987305420000006	2	ORF1a	162	+
330	0	0.99987305420000006	2	ORF1a	162	+
331	0	0.99987305420000006	2	ORF1a	162	+
332	0	0.99987305420000006	2	ORF1a	162	+
333	0	0.99987305420000006	2	ORF1a	162	+
334	0	0.99987305420000006	2	ORF1a	162	+
