ID	NB	product	codon_start	codon_end
s26342-26181	4	s26342-26181	1	15
s26342-26181	1	s26342-26181	2	16
s26342-26181	0	s26342-26181	3	17
s26342-26181	0	s26342-26181	4	18
s26342-26181	0	s26342-26181	5	19
s26342-26181	0	s26342-26181	6	20
s26342-26181	0	s26342-26181	7	21
s26342-26181	2	s26342-26181	8	22
s26342-26181	2	s26342-26181	9	23
s26342-26181	3	s26342-26181	10	24
s26342-26181	2	s26342-26181	11	25
s26342-26181	1	s26342-26181	12	26
s26342-26181	5	s26342-26181	13	27
s26342-26181	7	s26342-26181	14	28
s26342-26181	6	s26342-26181	15	29
s26342-26181	5	s26342-26181	16	30
s26342-26181	2	s26342-26181	17	31
s26342-26181	1	s26342-26181	18	32
s26342-26181	1	s26342-26181	19	33
s26342-26181	1	s26342-26181	20	34
s26342-26181	3	s26342-26181	21	35
s26342-26181	3	s26342-26181	22	36
s26342-26181	0	s26342-26181	23	37
s26342-26181	0	s26342-26181	24	38
s26342-26181	1	s26342-26181	25	39
s26342-26181	1	s26342-26181	26	40
s26342-26181	7	s26342-26181	27	41
s26342-26181	6	s26342-26181	28	42
s26342-26181	11	s26342-26181	29	43
s26342-26181	7	s26342-26181	30	44
s26342-26181	3	s26342-26181	31	45
s26342-26181	3	s26342-26181	32	46
s26342-26181	2	s26342-26181	33	47
s26342-26181	1	s26342-26181	34	48
s26342-26181	0	s26342-26181	35	49
s26342-26181	0	s26342-26181	36	50
s26342-26181	3	s26342-26181	37	51
s26342-26181	5	s26342-26181	38	52
s26342-26181	5	s26342-26181	39	53
s21038-20844	3	s21038-20844	1	15
s21038-20844	3	s21038-20844	2	16
s21038-20844	2	s21038-20844	3	17
s21038-20844	0	s21038-20844	4	18
s21038-20844	0	s21038-20844	5	19
s21038-20844	0	s21038-20844	6	20
s21038-20844	1	s21038-20844	7	21
s21038-20844	1	s21038-20844	8	22
s21038-20844	1	s21038-20844	9	23
s21038-20844	1	s21038-20844	10	24
s21038-20844	6	s21038-20844	11	25
s21038-20844	13	s21038-20844	12	26
s21038-20844	11	s21038-20844	13	27
s21038-20844	5	s21038-20844	14	28
s21038-20844	2	s21038-20844	15	29
s21038-20844	0	s21038-20844	16	30
s21038-20844	1	s21038-20844	17	31
s21038-20844	1	s21038-20844	18	32
s21038-20844	0	s21038-20844	19	33
s21038-20844	0	s21038-20844	20	34
s21038-20844	0	s21038-20844	21	35
s21038-20844	4	s21038-20844	22	36
s21038-20844	8	s21038-20844	23	37
s21038-20844	10	s21038-20844	24	38
s21038-20844	4	s21038-20844	25	39
s21038-20844	3	s21038-20844	26	40
s21038-20844	1	s21038-20844	27	41
s21038-20844	0	s21038-20844	28	42
s21038-20844	0	s21038-20844	29	43
s21038-20844	0	s21038-20844	30	44
s21038-20844	0	s21038-20844	31	45
s21038-20844	0	s21038-20844	32	46
s21038-20844	0	s21038-20844	33	47
s21038-20844	0	s21038-20844	34	48
s21038-20844	0	s21038-20844	35	49
s21038-20844	0	s21038-20844	36	50
s21038-20844	1	s21038-20844	37	51
s21038-20844	1	s21038-20844	38	52
s21038-20844	1	s21038-20844	39	53
s21038-20844	0	s21038-20844	40	54
s21038-20844	0	s21038-20844	41	55
s21038-20844	1	s21038-20844	42	56
s21038-20844	1	s21038-20844	43	57
s21038-20844	0	s21038-20844	44	58
s21038-20844	0	s21038-20844	45	59
s21038-20844	0	s21038-20844	46	60
s21038-20844	0	s21038-20844	47	61
s21038-20844	0	s21038-20844	48	62
s21038-20844	0	s21038-20844	49	63
s21038-20844	0	s21038-20844	50	64
s19856-19713	0	s19856-19713	1	15
s19856-19713	1	s19856-19713	2	16
s19856-19713	1	s19856-19713	3	17
s19856-19713	1	s19856-19713	4	18
s19856-19713	2	s19856-19713	5	19
s19856-19713	2	s19856-19713	6	20
s19856-19713	2	s19856-19713	7	21
s19856-19713	2	s19856-19713	8	22
s19856-19713	0	s19856-19713	9	23
s19856-19713	0	s19856-19713	10	24
s19856-19713	0	s19856-19713	11	25
s19856-19713	0	s19856-19713	12	26
s19856-19713	0	s19856-19713	13	27
s19856-19713	1	s19856-19713	14	28
s19856-19713	1	s19856-19713	15	29
s19856-19713	1	s19856-19713	16	30
s19856-19713	1	s19856-19713	17	31
s19856-19713	0	s19856-19713	18	32
s19856-19713	0	s19856-19713	19	33
s19856-19713	0	s19856-19713	20	34
s19856-19713	0	s19856-19713	21	35
s19856-19713	0	s19856-19713	22	36
s19856-19713	1	s19856-19713	23	37
s19856-19713	2	s19856-19713	24	38
s19856-19713	3	s19856-19713	25	39
s19856-19713	2	s19856-19713	26	40
s19856-19713	3	s19856-19713	27	41
s19856-19713	5	s19856-19713	28	42
s19856-19713	10	s19856-19713	29	43
s19856-19713	5	s19856-19713	30	44
s19856-19713	3	s19856-19713	31	45
s19856-19713	1	s19856-19713	32	46
s19856-19713	1	s19856-19713	33	47
s18185-17979	0	s18185-17979	1	15
s18185-17979	0	s18185-17979	2	16
s18185-17979	0	s18185-17979	3	17
s18185-17979	0	s18185-17979	4	18
s18185-17979	0	s18185-17979	5	19
s18185-17979	0	s18185-17979	6	20
s18185-17979	0	s18185-17979	7	21
s18185-17979	0	s18185-17979	8	22
s18185-17979	0	s18185-17979	9	23
s18185-17979	0	s18185-17979	10	24
s18185-17979	1	s18185-17979	11	25
s18185-17979	1	s18185-17979	12	26
s18185-17979	3	s18185-17979	13	27
s18185-17979	0	s18185-17979	14	28
s18185-17979	0	s18185-17979	15	29
s18185-17979	0	s18185-17979	16	30
s18185-17979	0	s18185-17979	17	31
s18185-17979	0	s18185-17979	18	32
s18185-17979	0	s18185-17979	19	33
s18185-17979	0	s18185-17979	20	34
s18185-17979	0	s18185-17979	21	35
s18185-17979	0	s18185-17979	22	36
s18185-17979	0	s18185-17979	23	37
s18185-17979	0	s18185-17979	24	38
s18185-17979	0	s18185-17979	25	39
s18185-17979	0	s18185-17979	26	40
s18185-17979	0	s18185-17979	27	41
s18185-17979	0	s18185-17979	28	42
s18185-17979	1	s18185-17979	29	43
s18185-17979	9	s18185-17979	30	44
s18185-17979	9	s18185-17979	31	45
s18185-17979	10	s18185-17979	32	46
s18185-17979	6	s18185-17979	33	47
s18185-17979	2	s18185-17979	34	48
s18185-17979	3	s18185-17979	35	49
s18185-17979	1	s18185-17979	36	50
s18185-17979	0	s18185-17979	37	51
s18185-17979	0	s18185-17979	38	52
s18185-17979	0	s18185-17979	39	53
s18185-17979	0	s18185-17979	40	54
s18185-17979	1	s18185-17979	41	55
s18185-17979	2	s18185-17979	42	56
s18185-17979	1	s18185-17979	43	57
s18185-17979	2	s18185-17979	44	58
s18185-17979	0	s18185-17979	45	59
s18185-17979	0	s18185-17979	46	60
s18185-17979	0	s18185-17979	47	61
s18185-17979	0	s18185-17979	48	62
s18185-17979	2	s18185-17979	49	63
s18185-17979	5	s18185-17979	50	64
s18185-17979	6	s18185-17979	51	65
s18185-17979	7	s18185-17979	52	66
s18185-17979	4	s18185-17979	53	67
s18185-17979	0	s18185-17979	54	68
