sequence	product	product_order	codon	OL_category	variability	N_sites	S_sites	N_diffs	S_diffs
SARSCOV2	ORF1ab	1	1	NOL	conserved	3	0	0	0
SARSCOV2	ORF1ab	1	2	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	3	NOL	polymorphic	2.666540308	0.3334596917	5.054334091e-4	5.053056454e-4
SARSCOV2	ORF1ab	1	4	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	5	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	6	NOL	polymorphic	2	1	5.050505051e-4	0
SARSCOV2	ORF1ab	1	7	NOL	polymorphic	2.000126231	0.9998737693	0.001514641492	0
SARSCOV2	ORF1ab	1	8	NOL	polymorphic	2.666666667	0.3333333333	0	0.001009590987
SARSCOV2	ORF1ab	1	9	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	10	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	11	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	12	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	13	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	14	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	15	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	16	NOL	polymorphic	1.999495586	0.9997477932	0	0.0160109332
SARSCOV2	ORF1ab	1	17	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	18	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	19	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	20	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	21	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	22	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	23	NOL	polymorphic	2.000168011	0.9998319892	5.040322581e-4	0
SARSCOV2	ORF1ab	1	24	NOL	polymorphic	2.000504032	0.9994959677	0.002014604357	0.001007810404
SARSCOV2	ORF1ab	1	25	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	26	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	27	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	28	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	29	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	30	NOL	polymorphic	2.000335937	0.9996640632	0.001007556547	0
SARSCOV2	ORF1ab	1	31	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	32	NOL	polymorphic	2	1	0	5.039052658e-4
SARSCOV2	ORF1ab	1	33	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	34	NOL	polymorphic	1.998991935	0.9994959677	0	0
SARSCOV2	ORF1ab	1	35	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	36	NOL	polymorphic	2.666666667	0.3333333333	0	5.039052658e-4
SARSCOV2	ORF1ab	1	37	NOL	polymorphic	2.665994962	0.3332493703	0.001007048962	0
SARSCOV2	ORF1ab	1	38	NOL	polymorphic	2	1	0	0.003018862177
SARSCOV2	ORF1ab	1	39	NOL	polymorphic	2.332745592	0.6664987406	0	0
SARSCOV2	ORF1ab	1	40	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	41	NOL	polymorphic	2.666666667	0.3333333333	5.040322581e-4	0
SARSCOV2	ORF1ab	1	42	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	43	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	44	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	45	NOL	polymorphic	2.666498741	0.3335012594	5.037783375e-4	0
SARSCOV2	ORF1ab	1	46	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	47	NOL	polymorphic	2.665995807	0.3332494759	0	0
SARSCOV2	ORF1ab	1	48	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	49	NOL	polymorphic	2.000167757	0.9998322429	5.032712632e-4	0
SARSCOV2	ORF1ab	1	50	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	51	NOL	conserved	2.5	0.5	0	0
SARSCOV2	ORF1ab	1	52	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	53	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	54	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	55	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	56	NOL	polymorphic	2.000167715	0.9998322851	0.00100603609	0
SARSCOV2	ORF1ab	1	57	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	58	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	59	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	60	NOL	polymorphic	2.000083879	0.9999161215	5.032712632e-4	0
SARSCOV2	ORF1ab	1	61	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	62	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	63	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	64	NOL	polymorphic	2	1	0	5.031446541e-4
SARSCOV2	ORF1ab	1	65	NOL	polymorphic	2.666666667	0.3333333333	0	5.031446541e-4
SARSCOV2	ORF1ab	1	66	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	67	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	68	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	69	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	70	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	71	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	72	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	73	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	74	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	75	NOL	polymorphic	2.66582767	0.333417233	0.01648019905	2.03e-6
SARSCOV2	ORF1ab	1	76	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	77	NOL	conserved	1.5	1.5	0	0
SARSCOV2	ORF1ab	1	78	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	79	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	80	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	81	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	82	NOL	polymorphic	2.000167842	0.9998321584	5.035246727e-4	0
SARSCOV2	ORF1ab	1	83	NOL	polymorphic	2.665323934	0.3331654918	0	0.002513819349
SARSCOV2	ORF1ab	1	84	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	85	NOL	polymorphic	2.999244332	0	0	0
SARSCOV2	ORF1ab	1	86	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	87	NOL	polymorphic	2.666666667	0.3333333333	0.001006542399	0
SARSCOV2	ORF1ab	1	88	NOL	polymorphic	1.666834424	1.333165576	0	5.032712632e-4
SARSCOV2	ORF1ab	1	89	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	90	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	91	NOL	polymorphic	2.662640497	0.3328300621	0	0
SARSCOV2	ORF1ab	1	92	NOL	polymorphic	1.998489806	0.9992449031	0	5.030177261e-4
SARSCOV2	ORF1ab	1	93	NOL	polymorphic	2.66532461	0.3331655762	0	0
SARSCOV2	ORF1ab	1	94	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	95	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	96	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	97	NOL	polymorphic	2	1	0	5.032712632e-4
SARSCOV2	ORF1ab	1	98	NOL	polymorphic	1.999496729	0.9997483644	5.031445904e-4	0
SARSCOV2	ORF1ab	1	99	NOL	polymorphic	2.000125818	0.9998741822	5.032712632e-4	0
SARSCOV2	ORF1ab	1	100	NOL	polymorphic	2.666624727	0.3333752726	5.032712632e-4	0
SARSCOV2	ORF1ab	1	101	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	102	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	103	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	104	NOL	polymorphic	2.000335514	0.9996644858	0.001006289181	0
SARSCOV2	ORF1ab	1	105	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	106	NOL	polymorphic	2	1	0	0.001508674308
