gene_name	OL_category	num_bootstraps	min_defined_codons	num_codons	N_sites	S_sites	N_diffs	S_diffs	num_replicates	dN	dS	dNdS	dN_m_dS	boot_dN_SE	boot_dS_SE	boot_dN_over_dS_SE	boot_dN_over_dS_P	boot_dN_m_dS_SE	P_value	boot_dN_gt_dS_count	boot_dN_eq_dS_count	boot_dN_lt_dS_count	ASL_dN_gt_dS_P	ASL_dN_lt_dS_P	P_ALS
E	Non-OLG	10000	6	64	137.055555555556	51.9444444444444	2.85714285714286	6.17142857142857	10000	0.0211418074112039	0.129347631250539	0.163449513584469	-0.108205823839335	0.00691810868893179	0.0310996880861703	0.0585336070410874	0.00523178923363236	0.0298385473115088	2.87425552752102e-4	0	0	10000	1	0	1e-4
M	Non-OLG	10000	6	228	512.433333333333	168.566666666667	21.0178571428571	52.877380952381	10000	0.0421799615408808	0.406287129248125	0.103818109175496	-0.364107167707244	0.00661025285085917	0.0320756145882806	0.0168686576841259	7.53159788630378e-10	0.0313452671111627	3.41696599838495e-31	0	0	10000	1	0	1e-4
N	Non-OLG	10000	6	248	572.761904761905	168.238095238095	17.5465329991646	47.4380534670008	10000	0.0312781951972526	0.353655205173662	0.0884426264329787	-0.32237700997641	0.00514620788244187	0.0262240108350078	0.0165294681202994	8.76615031236083e-8	0.0271968259773776	2.06438281107048e-32	0	0	10000	1	0	1e-4
N	OLG	10000	6	175	250.174639249639	127.720634920635	11.259649122807	31.6639097744361	10000	0.0464141660475479	0.300978401880911	0.154210952538424	-0.254564235833363	0.00828929261509011	0.0280581816812953	0.0315522842413468	1.02138247359979e-6	0.0294357496270803	5.23494521999073e-18	0	0	10000	1	0	1e-4
ORF10	Non-OLG	10000	6	39	87.5333333333333	26.4666666666667	3.71428571428571	0.923809523809524	10000	0.0436804649857117	0.0357429786281256	1.22207120565325	0.00793748635758618	0.012466625759959	0.0221513755516703	NaN	NaN	0.0270675591071724	0.769333196258006	6418	0	3582	0.3582	0.6418	0.7164
ORF1ab	Non-OLG	10000	6	7149	16460.2884036071	4983.41084451324	899.901233452936	2096.5575132699	10000	0.0567661215856323	0.617344727011785	0.091952063574601	-0.560578605426152	0.00141456368733376	0.00797857050147343	0.00249177074408078	4.24526709497768e-298	0.00812734397603509	0	0	0	10000	1	0	1e-4
ORF3a	Non-OLG	10000	6	171	392.426984126984	117.573015873016	53.4972605123921	52.7267996379839	10000	0.150454716769102	0.683378001380275	0.220163242693232	-0.532923284611173	0.0164859215850002	0.0695013635671959	0.0297554258816087	1.37115047821083e-13	0.0688376302805593	9.80625829790263e-15	0	0	10000	1	0	1e-4
ORF3a	OLG	10000	6	84	117.74126984127	57.0674603174603	3.50952380952381	20.9238095238095	10000	0.0304155676595422	0.50334446126865	0.0604269441703631	-0.472928893609108	0.00925604069682449	0.132413981330003	0.0235053225930281	0.0101470624274875	0.131451694222831	3.20995427538202e-4	0	0	10000	1	0	1e-4
ORF3b	OLG	10000	6	22	35.5753968253969	16.4801587301587	1.48095238095238	1.40952380952381	10000	0.0428284584587081	0.0908109519293031	0.471622172753462	-0.0479824934705949	0.0202807688065985	0.0387291251005644	NA	NA	0.0289247948674074	0.0971418585638379	212	1	9787	0.9787	0.0212	0.0424
ORF3c	OLG	10000	6	20	26.2492063492063	14.952380952381	1.52857142857143	3.31428571428571	10000	0.0606180672376974	0.262744287195055	0.230711266398329	-0.202126219957358	0.0206873993264669	0.0833566013880444	0.104060182903755	0.0266166298311366	0.0782672018252874	0.00980831083891173	7	0	9993	0.9993	7e-4	0.0014
ORF3d	OLG	10000	6	36	55.9166666666667	24.6666666666667	0.5	1.5	10000	0.00899561008936446	0.0634180410210473	0.1418462308916	-0.0544224309316829	0.00909911567295075	0.0509099101915953	NA	NA	0.0485280514162157	0.262090685138474	0	1253	8747	0.8747	0	1e-4
ORF6	Non-OLG	10000	6	64	146.355952380952	36.6440476190476	17.4701336675021	12.1073099415205	10000	0.13001235675094	0.435584185420345	0.298478138331574	-0.305571828669406	0.0192668032989558	0.06926574193881	0.0615574050333005	1.24224886744854e-6	0.0693371393092043	1.04790872905376e-5	0	0	10000	1	0	1e-4
