Pos	ID	Allele	NB	codon_start	codon_end	NB_coverage
0	s26342-26181	HLA-A01:01	0	1	9	0
1	s26342-26181	HLA-A01:01	0	2	10	0
2	s26342-26181	HLA-A01:01	1	3	11	1
3	s26342-26181	HLA-A01:01	0	4	12	1
4	s26342-26181	HLA-A01:01	0	5	13	1
5	s26342-26181	HLA-A01:01	0	6	14	1
6	s26342-26181	HLA-A01:01	0	7	15	1
7	s26342-26181	HLA-A01:01	0	8	16	1
8	s26342-26181	HLA-A01:01	0	9	17	1
9	s26342-26181	HLA-A01:01	2	10	18	3
10	s26342-26181	HLA-A01:01	2	11	19	5
11	s26342-26181	HLA-A01:01	0	12	20	4
12	s26342-26181	HLA-A01:01	0	13	21	4
13	s26342-26181	HLA-A01:01	0	14	22	4
14	s26342-26181	HLA-A01:01	1	15	23	5
15	s26342-26181	HLA-A01:01	0	16	24	5
16	s26342-26181	HLA-A01:01	1	17	25	6
17	s26342-26181	HLA-A01:01	0	18	26	6
18	s26342-26181	HLA-A01:01	0	19	27	4
19	s26342-26181	HLA-A01:01	0	20	28	2
20	s26342-26181	HLA-A01:01	0	21	29	2
21	s26342-26181	HLA-A01:01	0	22	30	2
22	s26342-26181	HLA-A01:01	0	23	31	2
23	s26342-26181	HLA-A01:01	1	24	32	2
24	s26342-26181	HLA-A01:01	1	25	33	3
25	s26342-26181	HLA-A01:01	0	26	34	2
26	s26342-26181	HLA-A01:01	0	27	35	2
27	s26342-26181	HLA-A01:01	3	28	36	5
28	s26342-26181	HLA-A01:01	0	29	37	5
29	s26342-26181	HLA-A01:01	0	30	38	5
30	s26342-26181	HLA-A01:01	0	31	39	5
31	s26342-26181	HLA-A01:01	0	32	40	5
32	s26342-26181	HLA-A01:01	0	33	41	4
33	s26342-26181	HLA-A01:01	5	34	42	8
34	s26342-26181	HLA-A01:01	0	35	43	8
35	s26342-26181	HLA-A01:01	1	36	44	9
36	s26342-26181	HLA-A01:01	0	37	45	6
37	s26342-26181	HLA-A01:01	0	38	46	6
38	s26342-26181	HLA-A01:01	0	39	47	6
39	s26342-26181	HLA-A01:01	0	40	48	6
40	s26342-26181	HLA-A01:01	1	41	49	7
41	s26342-26181	HLA-A01:01	1	42	50	8
42	s26342-26181	HLA-A01:01	0	43	51	3
43	s26342-26181	HLA-A01:01	0	44	52	3
44	s26342-26181	HLA-A01:01	0	45	53	2
0	s21038-20844	HLA-A01:01	1	1	9	1
1	s21038-20844	HLA-A01:01	0	2	10	1
2	s21038-20844	HLA-A01:01	1	3	11	2
3	s21038-20844	HLA-A01:01	1	4	12	3
4	s21038-20844	HLA-A01:01	0	5	13	3
5	s21038-20844	HLA-A01:01	0	6	14	3
6	s21038-20844	HLA-A01:01	0	7	15	3
7	s21038-20844	HLA-A01:01	0	8	16	3
8	s21038-20844	HLA-A01:01	1	9	17	4
9	s21038-20844	HLA-A01:01	0	10	18	3
10	s21038-20844	HLA-A01:01	0	11	19	3
11	s21038-20844	HLA-A01:01	0	12	20	2
12	s21038-20844	HLA-A01:01	0	13	21	1
13	s21038-20844	HLA-A01:01	1	14	22	2
14	s21038-20844	HLA-A01:01	0	15	23	2
15	s21038-20844	HLA-A01:01	0	16	24	2
16	s21038-20844	HLA-A01:01	0	17	25	2
17	s21038-20844	HLA-A01:01	0	18	26	1
18	s21038-20844	HLA-A01:01	1	19	27	2
19	s21038-20844	HLA-A01:01	0	20	28	2
20	s21038-20844	HLA-A01:01	0	21	29	2
21	s21038-20844	HLA-A01:01	0	22	30	2
22	s21038-20844	HLA-A01:01	0	23	31	1
23	s21038-20844	HLA-A01:01	0	24	32	1
24	s21038-20844	HLA-A01:01	0	25	33	1
25	s21038-20844	HLA-A01:01	0	26	34	1
26	s21038-20844	HLA-A01:01	1	27	35	2
27	s21038-20844	HLA-A01:01	0	28	36	1
28	s21038-20844	HLA-A01:01	2	29	37	3
29	s21038-20844	HLA-A01:01	0	30	38	3
30	s21038-20844	HLA-A01:01	0	31	39	3
31	s21038-20844	HLA-A01:01	0	32	40	3
32	s21038-20844	HLA-A01:01	0	33	41	3
33	s21038-20844	HLA-A01:01	0	34	42	3
34	s21038-20844	HLA-A01:01	0	35	43	3
35	s21038-20844	HLA-A01:01	0	36	44	2
36	s21038-20844	HLA-A01:01	0	37	45	2
37	s21038-20844	HLA-A01:01	0	38	46	0
38	s21038-20844	HLA-A01:01	0	39	47	0
39	s21038-20844	HLA-A01:01	0	40	48	0
40	s21038-20844	HLA-A01:01	0	41	49	0
41	s21038-20844	HLA-A01:01	0	42	50	0
42	s21038-20844	HLA-A01:01	0	43	51	0
43	s21038-20844	HLA-A01:01	2	44	52	2
44	s21038-20844	HLA-A01:01	0	45	53	2
45	s21038-20844	HLA-A01:01	0	46	54	2
46	s21038-20844	HLA-A01:01	0	47	55	2
47	s21038-20844	HLA-A01:01	0	48	56	2
48	s21038-20844	HLA-A01:01	0	49	57	2
49	s21038-20844	HLA-A01:01	0	50	58	2
50	s21038-20844	HLA-A01:01	0	51	59	2
51	s21038-20844	HLA-A01:01	0	52	60	2
52	s21038-20844	HLA-A01:01	0	53	61	0
53	s21038-20844	HLA-A01:01	3	54	62	3
54	s21038-20844	HLA-A01:01	0	55	63	3
55	s21038-20844	HLA-A01:01	2	56	64	5
0	s19856-19713	HLA-A01:01	2	1	9	2
1	s19856-19713	HLA-A01:01	3	2	10	5
2	s19856-19713	HLA-A01:01	0	3	11	5
3	s19856-19713	HLA-A01:01	0	4	12	5
4	s19856-19713	HLA-A01:01	0	5	13	5
5	s19856-19713	HLA-A01:01	0	6	14	5
6	s19856-19713	HLA-A01:01	0	7	15	5
7	s19856-19713	HLA-A01:01	0	8	16	5
8	s19856-19713	HLA-A01:01	0	9	17	5
9	s19856-19713	HLA-A01:01	3	10	18	6
10	s19856-19713	HLA-A01:01	0	11	19	3
11	s19856-19713	HLA-A01:01	0	12	20	3
12	s19856-19713	HLA-A01:01	0	13	21	3
13	s19856-19713	HLA-A01:01	0	14	22	3
14	s19856-19713	HLA-A01:01	0	15	23	3
15	s19856-19713	HLA-A01:01	0	16	24	3
16	s19856-19713	HLA-A01:01	0	17	25	3
17	s19856-19713	HLA-A01:01	0	18	26	3
18	s19856-19713	HLA-A01:01	0	19	27	0
19	s19856-19713	HLA-A01:01	2	20	28	2
20	s19856-19713	HLA-A01:01	0	21	29	2
21	s19856-19713	HLA-A01:01	0	22	30	2
22	s19856-19713	HLA-A01:01	0	23	31	2
23	s19856-19713	HLA-A01:01	0	24	32	2
24	s19856-19713	HLA-A01:01	0	25	33	2
25	s19856-19713	HLA-A01:01	0	26	34	2
26	s19856-19713	HLA-A01:01	2	27	35	4
27	s19856-19713	HLA-A01:01	0	28	36	4
28	s19856-19713	HLA-A01:01	0	29	37	2
29	s19856-19713	HLA-A01:01	0	30	38	2
30	s19856-19713	HLA-A01:01	0	31	39	2
31	s19856-19713	HLA-A01:01	0	32	40	2
32	s19856-19713	HLA-A01:01	0	33	41	2
33	s19856-19713	HLA-A01:01	0	34	42	2
34	s19856-19713	HLA-A01:01	0	35	43	2
35	s19856-19713	HLA-A01:01	0	36	44	0
36	s19856-19713	HLA-A01:01	0	37	45	0
37	s19856-19713	HLA-A01:01	1	38	46	1
38	s19856-19713	HLA-A01:01	0	39	47	1
0	s18185-17979	HLA-A01:01	0	1	9	0
1	s18185-17979	HLA-A01:01	0	2	10	0
2	s18185-17979	HLA-A01:01	0	3	11	0
3	s18185-17979	HLA-A01:01	1	4	12	1
4	s18185-17979	HLA-A01:01	0	5	13	1
5	s18185-17979	HLA-A01:01	0	6	14	1
6	s18185-17979	HLA-A01:01	0	7	15	1
7	s18185-17979	HLA-A01:01	1	8	16	2
8	s18185-17979	HLA-A01:01	0	9	17	2
9	s18185-17979	HLA-A01:01	1	10	18	3
10	s18185-17979	HLA-A01:01	0	11	19	3
11	s18185-17979	HLA-A01:01	1	12	20	4
12	s18185-17979	HLA-A01:01	0	13	21	3
13	s18185-17979	HLA-A01:01	2	14	22	5
14	s18185-17979	HLA-A01:01	1	15	23	6
15	s18185-17979	HLA-A01:01	0	16	24	6
16	s18185-17979	HLA-A01:01	1	17	25	6
17	s18185-17979	HLA-A01:01	0	18	26	6
18	s18185-17979	HLA-A01:01	0	19	27	5
19	s18185-17979	HLA-A01:01	0	20	28	5
20	s18185-17979	HLA-A01:01	1	21	29	5
21	s18185-17979	HLA-A01:01	0	22	30	5
22	s18185-17979	HLA-A01:01	0	23	31	3
23	s18185-17979	HLA-A01:01	0	24	32	2
24	s18185-17979	HLA-A01:01	0	25	33	2
25	s18185-17979	HLA-A01:01	0	26	34	1
26	s18185-17979	HLA-A01:01	0	27	35	1
27	s18185-17979	HLA-A01:01	0	28	36	1
28	s18185-17979	HLA-A01:01	0	29	37	1
29	s18185-17979	HLA-A01:01	0	30	38	0
30	s18185-17979	HLA-A01:01	0	31	39	0
31	s18185-17979	HLA-A01:01	0	32	40	0
