gene_name	OL_category	num_bootstraps	min_defined_codons	num_codons	N_sites	S_sites	N_diffs	S_diffs	num_replicates	dN	dS	dNdS	dN_m_dS	boot_dN_SE	boot_dS_SE	boot_dN_over_dS_SE	boot_dN_over_dS_P	boot_dN_m_dS_SE	P_value	boot_dN_gt_dS_count	boot_dN_eq_dS_count	boot_dN_lt_dS_count	ASL_dN_gt_dS_P	ASL_dN_lt_dS_P	P_ALS
E	Non-OLG	10000	6	76	164.170232716542	60.8284586475478	0.00558306244325063	0.00360412988695906	10000	3.4007763471289e-5	5.92507186125184e-5	0.573963730190167	-2.52429551412294e-5	1.36003775353086e-5	3.04314862100363e-5	NaN	NaN	3.3688048360794e-5	0.453667455146515	2454	0	7546	0.7546	0.2454	0.4908
M	Non-OLG	10000	6	223	502.325174701718	163.671224041616	0.0211783762613524	0.0113511234147285	10000	4.21606905804157e-5	6.93532017078476e-5	0.607912678033509	-2.71925111274319e-5	1.096070754352e-5	2.51694700826618e-5	0.366066604926476	0.0967814713363407	2.70360874042791e-5	0.314518649212286	1511	0	8489	0.8489	0.1511	0.3022
N	Non-OLG	10000	6	246	570.30960393003	164.679670157459	0.0350100605875341	0.025695383625731	10000	6.13878152257618e-5	1.56032518167921e-4	0.393429625737995	-9.46447029421588e-5	7.45979240431631e-6	3.22959527498976e-5	0.0917012067347705	1.78397409387079e-5	3.19320967669665e-5	0.00303731085144394	0	0	10000	1	0	1e-4
N	OLG	10000	6	174	253.664652121781	126.158264371187	0.0190237469389589	0.0116524105152534	10000	7.49956557992394e-5	9.23634339243068e-5	0.811962619976856	-1.73677781250674e-5	1.2823305590262e-5	1.6552555554837e-5	0.193094241494986	2.61074179286691e-5	1.92957131251471e-5	0.368075123365487	1775	0	8225	0.8225	0.1775	0.355
ORF10	Non-OLG	10000	6	39	87.6679813088113	26.3312117884455	0.0043014362669051	0.00111915141125403	10000	4.90650771546028e-5	4.25028449220527e-5	1.15439512918688	6.5622322325501e-6	1.88158543812373e-5	2.5816605692749e-5	NaN	NaN	3.22731758653477e-5	0.838874023788071	6089	0	3911	0.3911	0.6089	0.7822
ORF1ab	Non-OLG	10000	6	7090	16356.8204680714	4910.06558802966	0.958041731014593	0.252517599853102	10000	5.85713912361326e-5	5.14285594206154e-5	1.13888842884162	7.14283181551722e-6	4.64849614389444e-6	4.06336576078383e-6	0.130271523524469	2.28168570147124e-18	6.22169280841181e-6	0.250946769841946	8784	0	1216	0.1216	0.8784	0.2432
ORF3a	Non-OLG	10000	6	171	392.49765943163	117.497735579624	0.0219452917892822	0.00641284585838342	10000	5.59119048532948e-5	5.45784633784509e-5	1.02443164193901	1.3334414748439e-6	1.80010017219222e-5	1.60822250853217e-5	0.555500945888978	0.0651600835443213	2.48517173291851e-5	0.95720931196416	5122	0	4878	0.4878	0.5122	0.9756
ORF3a	OLG	10000	6	84	114.501912646229	56.1645444783936	0.00532161588021937	0.00310867975207127	10000	4.6476218232802e-5	5.53495052963027e-5	0.839686244420808	-8.87328706350064e-6	1.42457566377002e-5	2.82608394370975e-5	NaN	NaN	3.32363375201042e-5	0.789488042512036	4123	0	5877	0.5877	0.4123	0.8246
ORF3b	OLG	10000	6	22	33.8333300083126	17.3332244389027	4.42018077928302e-4	2.86570860136945e-4	10000	1.30645750158114e-5	1.6533038105349e-5	0.790210179917543	-3.46846308953756e-6	7.72218091581334e-6	1.4585994248317e-5	NA	NA	1.71861798786053e-5	0.840059798888758	4456	33	5511	0.5511	0.4456	0.8912
ORF3c	OLG	10000	6	20	24.499515777623	16.0009368246051	0.00116873481960764	4.09376958005387e-4	10000	4.77044048631818e-5	2.55845618598953e-5	1.86457775295969	2.21198430032865e-5	2.83122645890295e-5	1.70530676861965e-5	NA	NA	2.63233353752751e-5	0.400732869987421	7862	7	2131	0.2131	0.7862	0.4262
ORF3d	OLG	10000	6	36	56.1690668602934	24.3323294399969	0.00371086298268343	0.00106238407984044	10000	6.60659539157608e-5	4.3661421010276e-5	1.51314254980872	2.24045329054848e-5	2.53583053867212e-5	3.18894258085078e-5	NaN	NaN	4.09750423236784e-5	0.584526543616956	7230	0	2770	0.277	0.723	0.554
ORF6	Non-OLG	10000	6	62	145.994513628845	37.004431014547	0.00712881984004422	5.39698749665564e-4	10000	4.88293680553469e-5	1.45847060708325e-5	3.34798437611296	3.42446619845145e-5	1.58865672875648e-5	7.97430243469999e-6	NaN	NaN	1.79800427565604e-5	0.0568330087239219	9785	0	215	0.0215	0.9785	0.043
ORF7a	Non-OLG	10000	6	120	271.666925603259	88.330708959068	0.0101326848015597	0.00157518172928386	10000	3.72981907129814e-5	1.78327758018311e-5	2.09155271885106	1.94654149111503e-5	9.18539414361821e-6	5.97381050010503e-6	1.36470679586506	0.12537388445114	1.14490517197306e-5	0.0890976288506762	9593	0	407	0.0407	0.9593	0.0814
ORF7b	Non-OLG	10000	6	42	96.6658706608479	26.3337522219451	0.0014597524807367	4.09800351248816e-5	10000	1.51010120816915e-5	1.55617911110788e-6	9.70390360203513	1.35448329705837e-5	1.22391467782335e-5	1.1286410380015e-6	NA	NA	1.22692429091467e-5	0.269607676272777	8992	7	1001	0.1001	0.8992	0.2002
ORF8	Non-OLG	10000	6	122	280.473877824648	82.5252754197408	0.0236716875614783	0.00905765751691834	10000	8.43989028321481e-5	1.09756162228471e-4	0.768967328289606	-2.53572593963232e-5	3.50358972224035e-5	5.98286777302123e-5	1.11179881192684	0.489161854449765	4.09317969988805e-5	0.535586842427184	2781	0	7219	0.7219	0.2781	0.5562
ORF9b	OLG	10000	6	97	146.829940404661	65.3359855790953	0.0130892837975132	0.00710974315961847	10000	8.91458769338146e-5	1.08818181842707e-4	0.81921858483789	-1.96723049088923e-5	2.00823051297717e-5	5.13219261413159e-5	0.663086798699806	0.216658586778837	5.47059475818298e-5	0.719145652509339	3903	0	6097	0.6097	0.3903	0.7806
ORF9c	OLG	10000	6	73	106.83471171712	47.8247036833176	0.00593446314144568	0.00812742917481072	10000	5.55480802640166e-5	1.69942070705307e-4	0.326864795947681	-1.14393990441291e-4	1.34963490722463e-5	6.07901502615789e-5	0.19218570209316	0.0889850905541956	6.26124140426209e-5	0.0676971039618027	146	0	9854	0.9854	0.0146	0.0292
S	Non-OLG	10000	6	1274	2926.63774574541	892.349791614223	0.20891053565439	0.0700046567608063	10000	7.13824373918817e-5	7.84497933642936e-5	0.909912369818572	-7.06735597241193e-6	5.65376919556659e-6	6.25188596642474e-6	0.101775996472012	3.87962481871212e-19	8.40858697612188e-6	0.400632192787596	1996	0	8004	0.8004	0.1996	0.3992
