Type	frame	genome-co-ord1	genome-co-ord2	strand	pvalue-permutation	pvalue-synonymous	reference-frame-gene	gene-co-ord1	gene-co-ord2
Non-OLG	2	263	13483	+	0.0003500525	1.0000000	ORF1a	1	13218
Overlapping	0	264	425	+	0.9998730542	0.9990756	ORF1a	2	160
Overlapping	1	265	405	+	0.8806283577	1.0000000	ORF1a	3	140
Overlapping	0	426	533	+	1.0000000000	1.0000000	ORF1a	164	268
Overlapping	0	531	686	+	0.9999644128	0.9995749	ORF1a	269	421
Overlapping	0	699	881	+	0.9965486822	0.9864463	ORF1a	437	616
Overlapping	0	879	1097	+	0.9238046958	0.8646839	ORF1a	617	832
Overlapping	0	1104	1229	+	0.9999999979	0.9999999	ORF1a	842	964
Overlapping	0	1443	1559	+	1.0000000000	1.0000000	ORF1a	1181	1294
Overlapping	0	1557	1739	+	0.9965486822	0.9864463	ORF1a	1295	1474
Overlapping	0	1737	1856	+	0.9999999999	1.0000000	ORF1a	1475	1591
Overlapping	0	1854	1967	+	1.0000000000	1.0000000	ORF1a	1592	1702
Overlapping	0	2181	2312	+	0.9999999738	0.9999991	ORF1a	1919	2047
Overlapping	1	2428	2550	+	0.9885515608	1.0000000	ORF1a	2166	2285
Overlapping	0	2562	2684	+	0.9999999995	1.0000000	ORF1a	2300	2419
Overlapping	0	2955	3206	+	0.7147895951	0.6849483	ORF1a	2693	2941
Overlapping	0	3204	3302	+	1.0000000000	1.0000000	ORF1a	2942	3037
Overlapping	0	3579	3752	+	0.9989771827	0.9945785	ORF1a	3317	3487
Overlapping	0	3909	4103	+	0.9873467572	0.9619104	ORF1a	3647	3838
Overlapping	1	4195	4305	+	0.9993543777	1.0000000	ORF1a	3933	4040
Overlapping	0	4281	4430	+	0.9999916361	0.9998742	ORF1a	4019	4165
Overlapping	1	4351	4452	+	0.9999778511	1.0000000	ORF1a	4089	4187
Overlapping	0	4458	4559	+	1.0000000000	1.0000000	ORF1a	4196	4294
Overlapping	1	4591	4707	+	0.9967087142	1.0000000	ORF1a	4329	4442
Overlapping	0	4662	4835	+	0.9989771827	0.9945785	ORF1a	4400	4570
Overlapping	0	5085	5216	+	0.9999999738	0.9999991	ORF1a	4823	4951
Overlapping	0	5559	5657	+	1.0000000000	1.0000000	ORF1a	5297	5392
Overlapping	0	5682	5783	+	1.0000000000	1.0000000	ORF1a	5420	5518
Overlapping	1	5788	5913	+	0.9806240498	1.0000000	ORF1a	5526	5648
Overlapping	0	5895	6089	+	0.9873467572	0.9619104	ORF1a	5633	5824
Overlapping	0	6153	6350	+	0.9832458738	0.9502103	ORF1a	5891	6085
Overlapping	0	6747	6860	+	1.0000000000	1.0000000	ORF1a	6485	6595
Overlapping	1	6937	7032	+	0.9999989790	1.0000000	ORF1a	6675	6767
Overlapping	0	7233	7367	+	0.9999999186	0.9999977	ORF1a	6971	7102
Overlapping	0	7368	7469	+	1.0000000000	1.0000000	ORF1a	7106	7204
